epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5417,0.89281,3.0867,1.36104,0.92609,0.42537,0.6111,0.5039,0.63476,2.1155,1.15078,0.00026,0.00026,0.00026
2,26.7473,0.80429,1.43757,1.26577,0.52358,0.59793,0.65018,0.45934,0.90791,1.7394,1.50695,0.000521255,0.000521255,0.000521255
3,38.6034,0.83066,1.18457,1.25757,0.58939,0.3652,0.53616,0.30791,1.07955,2.53882,1.67831,0.0007736,0.0007736,0.0007736
4,50.3466,0.8444,1.09046,1.24635,0.5106,0.60621,0.46988,0.33041,1.16043,3.41834,2.04276,0.0009505,0.0009505,0.0009505
5,61.9336,0.80783,0.92813,1.21468,0.77962,0.62667,0.65588,0.48363,0.99408,4.56486,1.56467,0.000934,0.000934,0.000934
6,73.2283,0.8325,0.91513,1.23967,0.51081,0.74606,0.67339,0.4958,0.75623,1.45715,1.28275,0.0009175,0.0009175,0.0009175
7,84.8594,0.78954,0.81185,1.21643,0.80265,0.62236,0.64158,0.51804,0.86475,2.01035,1.35948,0.000901,0.000901,0.000901
8,96.5333,0.78101,0.80472,1.20024,0.8264,0.63377,0.69838,0.56553,0.71575,1.44953,1.20625,0.0008845,0.0008845,0.0008845
9,107.983,0.76848,0.77404,1.19124,0.72732,0.74869,0.81595,0.61887,0.7145,0.94107,1.20477,0.000868,0.000868,0.000868
10,119.216,0.75918,0.7674,1.18676,0.70629,0.74678,0.75421,0.64438,0.54916,0.8354,1.05863,0.0008515,0.0008515,0.0008515
11,130.718,0.76534,0.7424,1.18235,0.66318,0.81916,0.89287,0.76296,0.58423,1.033,1.06527,0.000835,0.000835,0.000835
12,142.153,0.7654,0.69323,1.18895,0.80177,0.79685,0.85166,0.73389,0.60757,1.00156,1.10242,0.0008185,0.0008185,0.0008185
13,153.818,0.73973,0.74956,1.18067,0.82443,0.7526,0.83397,0.69141,0.66359,0.92856,1.15277,0.000802,0.000802,0.000802
14,165.375,0.72547,0.70035,1.162,0.92025,0.81997,0.90114,0.70926,0.64475,0.66578,1.15008,0.0007855,0.0007855,0.0007855
15,177.13,0.70129,0.65455,1.16388,0.88298,0.84987,0.93367,0.77016,0.66025,0.6033,1.09291,0.000769,0.000769,0.000769
16,188.76,0.69323,0.65868,1.13258,0.67616,0.86983,0.90183,0.77807,0.56983,0.67612,1.03145,0.0007525,0.0007525,0.0007525
17,200.578,0.68849,0.67004,1.15298,0.77626,0.92385,0.95339,0.80071,0.57698,0.67543,1.03243,0.000736,0.000736,0.000736
18,212.351,0.65165,0.63011,1.12119,0.88338,0.84067,0.9311,0.80759,0.5803,0.57193,1.0808,0.0007195,0.0007195,0.0007195
19,223.966,0.66643,0.66647,1.13614,0.89833,0.86586,0.92105,0.81267,0.54207,0.49478,1.05887,0.000703,0.000703,0.000703
20,235.28,0.64192,0.5723,1.12127,0.85389,0.81271,0.92247,0.79994,0.50899,0.52806,1.01655,0.0006865,0.0006865,0.0006865
21,246.368,0.60262,0.53788,1.09162,0.8093,0.9306,0.95272,0.8591,0.47011,0.49399,0.97235,0.00067,0.00067,0.00067
22,258.129,0.61442,0.53834,1.0937,0.89881,0.93441,0.96051,0.81331,0.49652,0.4982,0.9883,0.0006535,0.0006535,0.0006535
23,269.721,0.62917,0.55665,1.11162,0.84321,0.94853,0.96167,0.86845,0.47255,0.49423,0.96083,0.000637,0.000637,0.000637
